Region,Population,Beds,Physicians,Nurses,Outpatient_Clinics,Beds_per_1k,Physicians_per_1k,Nurses_per_1k,Clinics_per_1k
Riyadh,8600000,25000,29000,55000,1400,2.906977,3.372093,6.395349,0.162791
Makkah,8800000,24000,28000,53000,1300,2.727273,3.181818,6.022727,0.147727
Madinah,2100000,6800,8000,14500,450,3.238095,3.809524,6.904762,0.214286
Eastern Province,5400000,18000,21000,40000,1000,3.333333,3.888889,7.407407,0.185185
Qassim,1500000,5200,6300,11000,300,3.466667,4.200000,7.333333,0.200000
Hail,750000,2800,3000,5000,140,3.733333,4.000000,6.666667,0.186667
Tabuk,950000,3200,3500,6000,160,3.368421,3.684211,6.315789,0.168421
Jouf,550000,1900,2000,3500,100,3.454545,3.636364,6.363636,0.181818
Nothern Borders,400000,1300,1500,2700,70,3.250000,3.750000,6.750000,0.175000
Baha,500000,1600,1700,3000,90,3.200000,3.400000,6.000000,0.180000
Assir,2200000,6400,7100,12000,400,2.909091,3.227273,5.454545,0.181818
Najran,600000,1800,2000,3200,110,3.000000,3.333333,5.333333,0.183333
Jizan,1600000,4700,5000,9000,270,2.937500,3.125000,5.625000,0.168750
